name,札幌市,青森市,盛岡市,仙台市,秋田市,山形市,福島市,水戸市,宇都宮市,前橋市,さいたま市,千葉市,新宿区,横浜市,新潟市,富山市,金沢市,福井市,甲府市,長野市,岐阜市,静岡市,名古屋市,津市,大津市,京都市,大阪市,神戸市,奈良市,和歌山市,鳥取市,松江市,岡山市,広島市,山口市,徳島市,高松市,松山市,高知市,福岡市,佐賀市,長崎市,熊本市,大分市,宮崎市,鹿児島市,那覇市
さいたま市,654.60397882859,466.25074061602953,578.4869918705349,1217.7960127322526,534.9645659140567,890.4431404311621,1423.5761150251074,4384.377027904698,3963.500719760382,4071.6166873123498,0.0,11285.54535987649,45022.316195859035,15375.444643882453,1486.6064728913764,999.9946740788723,873.8599216717479,659.6633193611597,2100.562143536028,2101.267084271176,1215.273456630715,2939.1775671501387,2445.2455928124973,996.257261538432,773.2070845051054,1021.8030341388429,1730.669951664009,1274.2285814418578,725.1935691104648,503.3878714620554,354.4565669558621,320.19706274486634,596.1631641400193,577.2689921655011,354.32725301010646,394.83261491413754,423.28183601791386,404.9659527446218,317.79532698554857,593.989803795254,232.22988515949464,279.6854947417025,346.7118734807982,313.58088890078903,275.2414315524094,304.97944709641894,177.6740834813411
千葉市,544.8946150813091,383.0674809435288,476.17460259424416,991.5116540646055,430.9133046023746,705.57168564405,1126.6059612007562,3864.0243576201856,2534.4939138489535,2134.558905487695,10431.934513876138,0.0,18235.414145193085,12750.263800949546,1086.926124383032,704.2955080147864,635.3485566902823,490.5430840751238,1273.6700684224456,1357.1816927188063,906.3872945729687,2192.714873367776,1834.4404076641786,773.4065661894659,599.2282454281972,792.9852773577666,1361.931020631001,1006.2730372575965,568.6877047120308,402.44987054890566,278.8490378157022,255.43043564722055,476.57350230320355,467.46048536731,288.7611479122014,317.77530880699965,339.89447450971323,329.4545781791212,258.8561822962853,487.7266418452661,191.16777784415348,231.1015645255284,286.0403654400677,257.44099189638695,228.37671221263994,253.6335059931811,150.3086721061693
新宿区,1202.7943892849985,848.4388778512213,1046.7496872231006,2166.070101746735,963.6120319395227,1571.652377789385,2487.612136880185,7430.222802132521,6134.829498842325,6298.837330049907,61689.25137813945,27030.55704907187,0.0,48222.12696692947,2581.3789480833143,1790.4549676441084,1585.6722900029938,1214.5478329870748,3878.7186089661004,3620.766503254419,2271.773238759083,5829.576372737709,4604.005920813008,1889.1867015240339,1453.155523624153,1919.0786045265106,3262.463043553668,2398.692619103824,1369.2412489602611,951.9384033743003,661.1020178003739,597.7001297833357,1119.2344377667034,1083.4262351165503,664.9973194727963,745.6569635929052,796.620979021427,762.232762699291,599.9236556829741,1115.813322408982,436.58682758895054,526.1751628784274,652.8169013174778,590.4234603074616,519.7341980567604,575.4616957710589,335.48589386354877
横浜市,777.2719656129226,540.7547327900967,660.077595216777,1328.8125919986962,606.4648079000312,958.8464351986294,1491.6007713634415,4005.572187340315,3210.6078046690686,3458.483154079789,17210.48166830849,15439.819180814773,39393.99604842271,0.0,1566.1561932085767,1150.0477566054442,1034.7574701682904,808.4981029274876,2624.9355420797165,2225.194667295419,1550.5709529989233,4412.7064668152625,3178.026366249264,1312.440275114598,994.1147964503426,1310.9665418393079,2236.9400533451067,1639.4496966419936,942.1600437017267,654.2206315364883,444.8971854345465,401.57675702848695,759.3152532270238,732.4616950094813,448.89448901134546,510.4843556085941,542.2764285335834,517.4260555409462,409.2998424473121,753.0951452525513,294.90201533823017,355.5465773845136,441.95750479665094,400.17653455249774,353.2098913274044,390.3328612355379,226.86969808159478
新潟市,272.5801506100779,227.10743583809446,294.9389857574648,654.9697763597555,321.47530670415466,611.0386840529792,768.547312838781,568.1879353918612,600.6437028540146,597.192325601943,827.871803180507,654.8243150074435,1049.1489958584011,779.178217017591,0.0,352.3918193148518,298.41942188707634,196.55111909128,257.9028006850662,654.5686398800295,293.12917600491124,416.0973207728025,551.0580240105846,229.824242319883,198.97943795504202,266.56711757936927,447.54506229012486,339.17824834827377,181.77250694954597,130.06124812683322,107.1263956834372,99.37614028506326,170.35882907830197,170.7061399724168,106.11780254443296,105.49069046842028,118.02502370734503,115.95986396565382,87.56265431647012,177.81619079168254,69.01770823234156,82.74487814178612,101.17421998274916,90.8408890537885,77.8791773387507,87.40118043846887,51.259115882291994
富山市,97.37706949919055,68.4360883020873,77.93599308261628,138.56653406619688,79.26387373283994,107.22489769655216,147.1859916053096,194.63714988484733,195.56052454266185,277.21915393331415,380.07644700191497,289.5915514741951,496.6552227439262,390.5024875436558,240.50937894287028,0.0,669.0431010016196,260.9887132620555,181.09512237387193,555.4611564798507,312.2632308899469,293.23012649444485,536.7055080518514,196.91365400034556,177.52295285544213,236.4164132057555,366.5607233202517,271.5951110303298,151.5493970580215,98.04002883205162,84.1871458258531,69.4730281183152,123.8315290359368,112.31502367639663,66.56349392630102,76.04865169699846,84.5765132035836,75.98541343928947,58.39377327053348,106.82410446146255,41.13425496533045,48.49218545824086,60.5070225862916,56.12560299108271,46.35550837175183,50.88247788738497,27.227686428852135
金沢市,101.48908063505168,69.45932610048938,77.33256978838932,132.0752432835237,78.42896178450358,100.88979442653493,136.7622997768463,179.92456172533747,174.41415408403583,232.0181088404445,346.1504033316006,272.2655960977802,458.41074744577816,366.18137390232533,212.26726959259653,697.2746021948952,0.0,463.55285183661846,162.21437968722893,376.0738732236996,383.3184654276467,290.0338249990539,624.7022157202491,234.45937389445592,227.48783947271505,305.02901079322044,459.427861040516,342.3651420451586,187.95985672836008,119.67553652977672,110.59903399815602,87.06279206869986,154.3528796616406,135.76456358993116,79.22330530113513,92.52942940356472,104.05707530965165,91.03342822388943,69.74402464834243,125.14329515365786,47.989409437122944,56.19800120006922,70.43666044634907,65.99108572807123,53.56130976014127,58.50093268645557,30.440728079009805
福井市,63.6099381081866,42.2443147594506,46.601293785949665,78.33648448522261,46.390136183888444,58.84058233546609,80.20152474561992,110.16249582908884,103.56795944012,134.0912296014097,215.34380183105156,173.23869202036187,289.3629994896072,235.78908901655478,115.21751114828649,224.16019510772142,382.02015560209327,0.0,103.41793131633436,189.65417717791618,398.87320023912605,205.3338857082741,581.2910260469608,219.3078973678307,239.58382048495164,321.55091042183,440.77548173450987,321.995833205064,181.64838064030928,106.02658117427661,97.70706657302443,69.43958222572304,131.0749096994636,106.55992387775215,60.372735869330114,78.96018324831327,87.8904449963212,71.86043388169973,56.04535676795156,93.41270143868603,35.747269410624874,41.58235322718126,52.739170034986685,50.28365503951905,40.2052317863419,43.37982140772409,21.713506793405106
甲府市,70.06896553231353,48.68718054221029,57.91542678893928,111.85026629290627,55.190171830766204,83.31980401738872,124.32575919378125,239.24146919357995,234.93148071233813,395.1935894324756,704.8176375815993,462.334040418293,949.8342740414183,786.854678558072,155.39255800338597,159.8728480174817,137.40658900863818,106.2984752522847,0.0,325.5738959780834,217.20303018480425,637.8953876741296,446.53700605079536,163.15247230590285,121.00938149643025,158.37051001623755,259.7586466348667,187.21512479153873,111.33912104738688,72.54520967521792,49.91188322619988,43.126072064646976,82.50012442892869,76.30198559243748,45.85928809178253,55.17475591236286,58.48541466266447,53.57173077878247,42.54737419047279,75.43303546778245,29.38381842272185,35.1096328226902,43.9324449505363,40.350556343214265,34.78708894343625,38.126954895314164,21.1899363590839
長野市,198.6106572655028,144.30218653857995,172.10927811314198,335.88117260285713,172.35303955915296,263.6392651071777,380.79641251917764,543.4702034575829,603.1676431003193,1097.151131737611,1119.7891201584534,782.4393387404074,1408.2308000717985,1059.3943576755116,626.3875384158058,778.8169763254749,505.94712056275114,309.60456697576484,517.0866596431778,0.0,484.60218108878576,672.715477572718,901.2382581174594,336.6712368557491,281.2182428073822,372.6769188224756,600.3239122819583,443.0577928235547,250.22726129192955,166.31952850840074,131.03526889588093,113.3422322416012,204.74114715194588,191.97327115818686,115.79043125982506,129.66226746470727,142.134012099819,131.63864598189562,101.79293006485739,189.56212429017233,73.4343551707018,87.35931230799952,108.50894335730518,99.43757443945987,84.16137210434229,92.89438067998061,51.62773370852424
岐阜市,155.60614259407276,102.7272406025565,115.05351206361676,198.08684728291817,111.9882647629445,147.08782286222035,204.96555565160196,306.9263627305306,283.79661313661364,373.20293836918614,636.9380267994969,513.9189990493137,868.9733926067482,726.0214781126572,275.8767755848957,430.5967464832873,507.1773919696364,640.3950746024202,339.27184176798204,476.59945799785197,0.0,771.3865790490224,6046.586670877034,1120.8087342551416,850.9173672400432,1055.657219503034,1401.176934991171,929.3974012432625,653.7579605465523,321.2238934700808,211.80735454145415,157.93246670673108,329.1237368462226,264.2508406708502,150.00622564470635,222.01996245370128,230.50750428506578,184.99013935802108,150.55418000570455,234.97053915703026,90.63232988241752,106.18151833180245,135.64781816525564,129.39171083537678,106.1036440313368,113.60997922674889,57.11446996583434
